Kod,Bolge,2004 (1),Sıra,2005 (1),Sıra,2006 (1),Sıra,2007,Sıra,2008,Sıra,2009,Sıra,2010,Sıra,2011,Sıra
TR,Türkiye,5.103,,6.187,,6.686,,8.267,,9.384,,7.769,,8.926,,9.244,
TR10,İstanbul,7.943,1,9.511,1,10.314,1,12.925,1,14.591,1,11.848,1,13.416,1,13.865,1
TR21,"Tekirdağ, Edirne, Kırklareli",6.3,6,7.878,5,8.625,5,10.567,5,12.243,5,9.699,5,11.511,5,12.029,5
TR22,"Balıkesir, Çanakkale",4.515,10,5.526,10,5.724,10,7.404,10,9,9,7.596,8,8.651,8,8.954,8
TR31,İzmir,6.598,5,7.859,6,8.425,6,10.298,6,11.568,6,9.372,6,10.783,6,11.443,6
TR32,"Aydın, Denizli, Muğla",5.32,8,6.283,9,6.858,9,8.076,9,9.076,8,7.496,9,8.524,9,8.668,9
TR33,"Manisa, Afyon, Kütahya, Uşak",4.042,13,5.079,11,5.617,11,6.986,11,8.256,11,6.988,11,8.012,10,8.283,11
TR41,"Bursa, Eskişehir, Bilecik",6.93,4,8.564,3,9.409,3,11.719,2,12.983,3,10.319,4,11.528,4,12.126,4
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",7.183,2,8.725,2,9.612,2,11.563,3,13.265,2,10.641,3,12.128,2,13.138,2
TR51,Ankara,6.978,3,8.284,4,9.082,4,11.134,4,12.598,4,10.699,2,11.99,3,12.259,3
TR52,"Konya, Karaman",3.887,14,4.706,13,4.968,13,6.251,13,7.213,13,6.125,13,6.771,13,7.118,13
TR61,"Antalya, Isparta, Burdur",6.048,7,7.337,7,7.785,7,9.503,7,10.334,7,8.672,7,10.094,7,10.122,7
TR62,"Adana, İçel",4.065,12,4.965,12,5.327,12,6.593,12,7.363,12,6.125,12,7.147,12,7.232,12
TR63,"Hatay, Kahramanmaraş, Osmaniye",3.155,19,3.814,19,3.907,19,4.999,19,5.937,19,4.902,21,5.724,20,5.904,19
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",3.674,15,4.458,16,4.676,17,5.941,17,6.789,17,5.737,16,6.673,15,7.087,14
TR72,"Kayseri, Sivas, Yozgat",3.635,16,4.353,17,4.659,18,6.002,15,6.813,16,5.75,15,6.639,16,6.675,16
TR81,"Zonguldak, Karabük, Bartın",5.209,9,6.577,8,7.108,8,8.097,8,8.734,10,7.153,10,7.952,11,8.536,10
TR82,"Kastamonu, Çankırı, Sinop",4.178,11,4.679,14,4.825,15,5.968,16,6.676,18,5.67,17,6.612,17,6.594,18
TR83,"Samsun, Tokat, Çorum, Amasya",3.549,17,4.343,18,4.736,16,5.781,18,6.914,15,5.598,18,6.444,18,6.762,15
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",3.545,18,4.577,15,4.882,14,6.063,14,7.059,14,5.816,14,6.765,14,6.652,17
TRA1,"Erzurum, Erzincan, Bayburt",2.975,21,3.428,21,3.768,21,4.722,21,5.52,20,4.99,19,5.815,19,5.901,20
TRA2,"Ağrı, Kars, Iğdır, Ardahan",2.048,24,2.507,24,2.661,25,3.174,25,3.601,25,3.254,25,4.055,25,4.001,25
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",3.017,20,3.752,20,3.857,20,4.845,20,5.517,21,4.91,20,5.638,21,5.82,21
TRB2,"Van, Muş, Bitlis, Hakkari",1.877,25,2.319,26,2.341,26,2.934,26,3.419,26,3.137,26,3.712,26,3.515,26
TRC1,"Gaziantep, Adıyaman, Kilis",2.678,22,3.342,22,3.53,22,4.157,22,4.597,22,3.925,22,4.909,22,4.952,22
TRC2,"Şanlıurfa, Diyarbakır",2.377,23,2.772,23,2.896,23,3.417,23,3.724,24,3.38,24,4.165,24,4.282,24
TRC3,"Mardin, Batman, Şırnak, Siirt",1.853,26,2.484,25,2.865,24,3.405,24,3.812,23,3.549,23,4.531,23,4.689,23